日期,類型,分類,金額,帳戶,備註
2020-01-01,支出,餐飲 > 早餐,119,現金,全家早餐
2020-01-01,支出,餐飲 > 晚餐,238,信用卡,火鍋
2020-01-01,支出,交通 > 公車/捷運,32,現金,公車
2020-01-02,支出,餐飲 > 午餐,149,現金,滷肉飯
2020-01-02,支出,交通 > 公車/捷運,35,現金,悠遊卡儲值
2020-01-03,支出,居住 > 房租/房貸,16126,銀行帳戶,每月房租
2020-01-03,支出,餐飲 > 早餐,85,信用卡,全家早餐
2020-01-03,支出,餐飲 > 午餐,83,信用卡,義大利麵
2020-01-03,支出,餐飲 > 晚餐,268,信用卡,水餃
2020-01-03,支出,餐飲 > 飲料,130,現金,清心
2020-01-03,支出,交通 > 公車/捷運,50,現金,公車
2020-01-04,收入,薪資,50409,銀行帳戶,2020年1月薪資
2020-01-04,支出,餐飲 > 午餐,184,現金,麵店
2020-01-04,支出,餐飲 > 晚餐,99,信用卡,鹹酥雞
2020-01-04,支出,餐飲 > 飲料,95,現金,美式咖啡
2020-01-05,支出,餐飲 > 午餐,186,現金,定食
2020-01-05,支出,餐飲 > 晚餐,288,信用卡,火鍋
2020-01-05,支出,娛樂 > 遊戲,1722,信用卡,Steam遊戲
2020-01-05,支出,娛樂 > 運動健身,284,現金,游泳池
2020-01-06,支出,餐飲 > 早餐,117,信用卡,7-11早餐
2020-01-06,支出,餐飲 > 午餐,128,現金,定食
2020-01-06,支出,餐飲 > 飲料,89,現金,手搖飲
2020-01-06,支出,交通 > 公車/捷運,25,現金,悠遊卡加值
2020-01-07,支出,餐飲 > 午餐,117,現金,滷肉飯
2020-01-07,支出,餐飲 > 飲料,68,信用卡,路易莎咖啡
2020-01-07,支出,餐飲 > 點心,140,現金,餅乾
2020-01-07,支出,交通 > 公車/捷運,30,現金,悠遊卡加值
2020-01-08,支出,餐飲 > 早餐,43,信用卡,蛋餅
2020-01-08,支出,餐飲 > 午餐,211,現金,簡餐
2020-01-08,支出,餐飲 > 晚餐,394,現金,披薩
2020-01-08,支出,交通 > 公車/捷運,48,現金,悠遊卡儲值
2020-01-08,支出,購物 > 日用品,497,現金,面紙
2020-01-09,支出,餐飲 > 早餐,91,現金,全家早餐
2020-01-09,支出,餐飲 > 午餐,117,現金,麵店
2020-01-09,支出,餐飲 > 晚餐,404,信用卡,滷味
2020-01-09,支出,交通 > 公車/捷運,65,現金,捷運
2020-01-10,支出,餐飲 > 午餐,135,信用卡,簡餐
2020-01-10,支出,交通 > 公車/捷運,20,現金,公車
2020-01-11,支出,餐飲 > 午餐,101,現金,拉麵
2020-01-11,支出,餐飲 > 晚餐,458,信用卡,燒烤
2020-01-11,支出,餐飲 > 飲料,50,信用卡,清心
2020-01-11,支出,餐飲 > 點心,75,信用卡,麵包
2020-01-11,支出,購物 > 服飾,2524,信用卡,H&M
2020-01-12,支出,餐飲 > 早餐,119,信用卡,麥當勞早餐
2020-01-12,支出,餐飲 > 午餐,169,信用卡,自助餐
2020-01-12,支出,餐飲 > 晚餐,373,現金,燒烤
2020-01-13,支出,餐飲 > 早餐,119,信用卡,7-11早餐
2020-01-13,支出,餐飲 > 午餐,159,信用卡,牛肉麵
2020-01-13,支出,餐飲 > 晚餐,153,信用卡,熱炒
2020-01-13,支出,餐飲 > 飲料,42,現金,迷客夏
2020-01-13,支出,交通 > 公車/捷運,48,現金,公車
2020-01-13,支出,購物 > 日用品,491,信用卡,沐浴乳
2020-01-14,支出,餐飲 > 早餐,41,現金,美而美早餐
2020-01-14,支出,餐飲 > 午餐,92,現金,滷肉飯
2020-01-14,支出,餐飲 > 晚餐,297,信用卡,水餃
2020-01-15,支出,居住 > 水電費,1257,銀行帳戶,自來水費
2020-01-15,支出,餐飲 > 早餐,120,信用卡,7-11早餐
2020-01-15,支出,餐飲 > 午餐,233,現金,便當
2020-01-15,支出,餐飲 > 晚餐,188,現金,燒烤
2020-01-15,支出,餐飲 > 飲料,118,現金,手搖飲
2020-01-15,支出,交通 > 公車/捷運,25,現金,捷運
2020-01-16,支出,餐飲 > 早餐,85,現金,飯糰
2020-01-16,支出,餐飲 > 午餐,99,信用卡,咖哩飯
2020-01-16,支出,餐飲 > 晚餐,287,信用卡,泰式料理
2020-01-16,支出,餐飲 > 飲料,40,信用卡,路易莎咖啡
2020-01-16,支出,購物 > 日用品,796,現金,垃圾袋
2020-01-17,支出,餐飲 > 早餐,110,信用卡,吐司
2020-01-17,支出,餐飲 > 午餐,159,信用卡,小吃店
2020-01-17,支出,餐飲 > 晚餐,166,現金,夜市小吃
2020-01-17,支出,交通 > 公車/捷運,35,現金,公車
2020-01-18,支出,居住 > 網路費,999,銀行帳戶,家用網路費
2020-01-18,支出,餐飲 > 早餐,60,現金,燒餅油條
2020-01-18,支出,餐飲 > 午餐,247,現金,麵店
2020-01-18,支出,教育 > 線上課程,1655,信用卡,線上英文課
2020-01-19,支出,餐飲 > 早餐,114,信用卡,三明治
2020-01-19,支出,餐飲 > 午餐,97,信用卡,簡餐
2020-01-19,支出,餐飲 > 晚餐,487,信用卡,水餃
2020-01-19,支出,餐飲 > 飲料,164,現金,綠茶
2020-01-19,支出,交通 > 計程車/Uber,288,信用卡,Uber叫車
